lead_days,probability_bin,forecast_initializations,mean_forecast_probability,observed_event_frequency
30,0,95,0.015216258315789474,0.010526315789473684
30,1,20,0.0782178218,0.1
30,2,25,0.156039606,0.04
30,3,28,0.27864215249999996,0.21428571428571427
30,4,14,0.4915134428571429,0.5
30,5,10,0.689108909,0.9
30,6,7,0.8896746871428572,1.0
45,0,64,0.0232054453125,0.0
45,1,30,0.0762376238,0.16666666666666666
45,2,22,0.1489648990909091,0.09090909090909091
45,3,43,0.2836748841860465,0.09302325581395349
45,4,20,0.500990109,0.5
45,5,12,0.7095709608333333,0.8333333333333334
45,6,8,0.8849009975,0.875
60,0,51,0.028538147647058823,0.0784313725490196
60,1,40,0.07698019795,0.05
60,2,49,0.14528187571428572,0.12244897959183673
60,3,57,0.3046725738596491,0.12280701754385964
60,4,27,0.5082508351851852,0.5185185185185185
60,5,16,0.70730198,0.9375
60,6,10,0.8841584210000001,0.9
90,0,21,0.029702970000000002,0.2857142857142857
90,1,27,0.0825082508888889,0.14814814814814814
90,2,63,0.14992928047619047,0.2222222222222222
90,3,66,0.28967896969696966,0.22727272727272727
90,4,38,0.48514852026315786,0.42105263157894735
90,5,20,0.6826732609999999,0.75
90,6,15,0.8739274013333332,0.9333333333333333
